Sismos reportados en el 2024    / Total de sismos = 158
Fecha;Hora Local;Magnitud;Profundidad en km;Localizacion;Origen;Reportado;Latitud;Longitud;
2024-06-24;19:41:00;2.4;9;4 km al oeste de Salitrillos (Aserrí);Tectónico en falla local;San Miguel de Patarrá, Alajuelita y Desamparados;9.8462;-84.1342
2024-06-24;16:48:00;4.4;7;3.5 km Oeste de Salitrillos de Aserrí;Fallamiento Local;Valle Central;9.8523;-84.1287
2024-06-24;10:23:00;4;32;54km al NorNoroeste de Playa Nacascolo, Guanacaste;Subducción;Playa Flamingo;10.7644;-86.1838
2024-06-19;19:27:00;2.9;10;8 km al norte de San Isidro de Pérez Zeledón;Tectónico en falla local;Bostón de Pérez Zeledón y Cartago;9.4482;-83.7062
2024-06-18;16:05:37;2.8;8;14 km al norte de Tilarán;Tectónico en falla local;Río Piedras (Guadalajara) de Tierras Morenas;10.5985;-84.964
2024-06-18;16:05:09;2.1;6;14 km al norte de Tilarán;Tectónico en falla local;Río Piedras (Guadalajara) de Tierras Morenas;10.5996;-84.9659
2024-06-16;13:15:00;3.7;65;2 km al norte de San Ignacio de Acosta;Deformacion interna de la placa del Coco;Valle Central, Perez Zeledon;9.8162;-84.1634
2024-06-08;03:03:00;2.8;12;17 km al noreste de San Isidro de Heredia;Tectónico en falla local;Hatillo y Escazú;10.1481;-83.9702
2024-06-08;00:47:00;3.2;7;15 km al norte de Tilarán;Tectónico en falla local;Tronadora, Tierras Morenas, Aguacate, Quebrada Grande, Paraiso  Guadalajara de Tilarán, Tilarán, Nuevo Arenal, Río Celeste, Guatuso, Bagaces  Abangares;10.6021;-84.9497
2024-06-05;00:10:00;4.1;12;14 km al norte de Tilarán;Tectónico en falla local;Tilarán, Nuevo Arenal, Bahaces, Bijagua, Fortuna, Guatuso;10.5995;-84.9668
2024-06-05;00:08:00;3.6;10;15 km al norte de Tilarán;Tectónico en falla local;Tilarán, Nuevo Arenal, Bahaces, Bijagua, Fortuna, Guatuso;10.6079;-84.9648
2024-06-04;14:28:31;2.7;8;5.5 km hacia el Noreste de Tierras Morenas, Tilarán Guanacaste;Fallamiento local;Tilaran;10.5754;-84.9737
2024-06-04;08:08:00;3.2;9;14 km al norte de Tilarán;Tectónico en falla local;Tilarán, Tronadora, Piedras Negras y Guadalajara de Tilarán;10.5996;-84.9657
2024-06-03;05:46:00;2.7;2;6 km Este de Tierras Morenas. Tilarán;Tectónico por Fallamiento Local;Tierras Morenas;10.5703;-84.9704
2024-06-01;14:32:00;4.4;54;1 km Sur de San Carlos de Tarrazú;Deformación Interna de la Placa de Coco;Zona de los Santos;9.6187;-84.0929
2024-06-01;09:02:00;2.5;5;6 Km NorEste de Tierras Morenas . Tilarán;Tectónico por Fallamiento Local;Tierras Morenas;10.5905;-84.9751
2024-05-29;13:03:00;4.1;15;25 Km oeste de Marbella. Guanacaste;Intraplaca Coco;Marbella, Nicoya, Playa Negra, Nosara, Tamarindo;10.0662;-86.0008
2024-05-25;22:37:09;4.46;3;1.6 km al norte de Caracol de la Vaca Corredores de Puntarenas;Fallamiento local;Corredores de Puntarenas, Laurel, Puerto Armuelles;8.465;-82.9946
2024-05-25;14:11:00;5.2;14;5 km Sur Oeste de Laurel de Corredores;Microplaca de Panamá;Laurel, Ciudad Neilly y Chiriquí en Panamá;8.4158;-82.9438
2024-05-24;23:39:00;3.7;23;Playa Avellana;Subducción;Tamarindo, Villareal,Sardinal,Playa Potrero, Belén de Carrillo;10.2368;-85.8433
2024-05-24;16:45:20;3.7;9.4;Savegre Abajo de Puntarenas;Fallamiento local;Heredia, Pérez Zeledón, Dominical,;9.4335;-83.847
2024-05-23;09:02:00;3.1;10;La Suiza de Turrialba;Fallamiento local;La Suiza, Tucurrique, Tuis, Turrialba, Tres Ríos, Sarapiquí;9.8563;-83.5987
2024-05-15;08:27:28;2.6;9;1.4 km hacia el Oeste de San Luis de Santo Domingo de Heredia;Fallamiento local;Lomas de Ayarco, Curridabat, Santo Domingo, Paso Ancho, Zapote, San Jose;10.0129;-84.0134
2024-05-02;14:14:00;3.7;66;15 km al noreste de Playa Matapalo, Puntarenas;Intra Placa Coco;Escazú, Caldera, Pérez Zeledón;9.422;-83.8693
2024-04-25;19:07:00;2.4;12;12 km al sureste de Tilarán;Tectónico en falla local;Cerro San José y Líbano de Tilarán y en Marañonal de Esparza;10.3747;-84.9055
2024-04-25;16:05:00;3.4;10;8 km hacia el Norte de San Isidro de Pérez Zeledón;Fallamiento local;San Isidro de Pérez Zeledón;9.4483;-83.7174
